id,name,created_at,updated_at
83,"Boise, Idaho Area","2015-01-07 05:13:25","2015-01-07 05:13:25"
84,"Birmingham, Alabama Area","2015-01-07 05:13:28","2015-01-07 05:13:28"
85,"Baltimore, Maryland Area","2015-01-07 05:13:29","2015-01-07 05:13:29"
86,"Austin, Texas Area","2015-01-07 05:13:36","2015-01-07 05:13:36"
87,"Athens, Georgia Area","2015-01-07 05:13:41","2015-01-07 05:13:41"
88,"Anchorage, Alaska Area","2015-01-07 05:13:42","2015-01-07 05:13:42"
89,"Allentown, pennsylvania Area","2015-01-07 05:13:43","2015-01-07 05:13:43"
90,"Cleveland/Akron, Ohio Area","2015-01-07 19:44:13","2015-01-07 19:44:13"
91,EMEA,"2015-02-26 15:08:21","2015-02-26 15:08:21"
92,"Topeka, Kansas","2015-05-13 20:26:33","2015-05-13 20:27:07"
93,"Albany, New York","2015-05-13 20:29:04","2015-05-13 20:29:04"
94,"Orange County","2016-05-19 22:25:36","2016-05-19 22:25:36"
